Flow,VolFlow,P_bar,T_C,MA,Power,S6_Pres,Method,SS_MassFlow,SS_VolFlow,SS_SuctionP,SS_DischargeP,SS_Ratio,SS_Duty_kW,SS_LMTD,SS_MinAppr,SS_UA_kWC,SS_ExpInletT
900,3600,4.8,-104.78224480869373,1.7992740981628472,969.8459756173564,23.084744231060494,Secant,5.178600850166291,0.9929501299310063,480.0,2308.4744231060495,4.80932171480427,1053.4448555539116,8.870345310463122,1.7992740981628472,0.11876029835177984,-104.7822404702543
900,3650,4.7,-102.34727361684611,1.3777964828315135,956.7702507798252,22.223702339066012,Secant,5.183592019498811,1.0138888888888888,470.0,2222.3702339066012,4.728447306184258,1036.6622261754555,9.110505061272734,1.3777964828315135,0.11378756931732982,-102.34663134269667
900,3700,4.7,-104.83944964771256,1.3697155314031093,961.8126992612389,22.07868107005455,Secant,5.205280883994997,1.0207458084129435,470.0,2207.868107005455,4.697591717032883,1054.98587120517,7.967833825260896,1.3697155314031093,0.1324056066355809,-104.83953674011806
900,3750,4.7,-103.91336936630984,1.9209803846128608,966.4303753672776,21.802278864657104,Secant,5.2791175625157996,1.0333484381492337,470.0,2180.2278864657105,4.638782737161086,1060.1160265498643,8.758823814399133,1.9209803846128608,0.12103406222272434,-103.91355255799954
900,3800,4.8,-106.9433885021711,1.9953678687033545,998.0941105304374,21.612985286415654,Secant,5.509054890783582,1.0555555555555554,480.0,2161.2985286415656,4.502705268003262,1115.6016370376938,8.87394888070637,1.9953678687033545,0.1257164822600253,-106.94303706332428
1000,3500,5.2,-99.57365882512067,1.3444091283443242,1022.2318248317569,25.40968362407588,Secant,5.50003093757218,0.972222222222222,520.0,2540.968362407588,4.886477620014592,1102.7997251819513,9.420074640498717,1.3444091283443242,0.11706910690928103,-99.57268785199244
1000,3550,5.2,-101.28943163534053,1.761135037450245,1028.1020967353056,25.294023101538517,Secant,5.534376908259492,0.9795812078703978,520.0,2529.402310153852,4.86423521183433,1119.1899548383958,8.893889375905136,1.761135037450245,0.1258380791052391,-101.28942226034698
1000,3600,5.2,-102.39848927147376,1.9480728194277788,1039.2225481816968,25.000703366979437,Secant,5.644207545866349,0.9983518816389793,520.0,2500.0703366979437,4.807827570572968,1143.006924654498,9.180124786505322,1.9480728194277788,0.1245088657547123,-102.39847765651726
1000,3650,5.2,-103.34687484648632,1.8835344508725314,1045.632613201948,24.781446716109897,Secant,5.706380591204968,1.0095608822502702,520.0,2478.14467161099,4.765662830021134,1158.6631088204572,9.070759922842841,1.8835344508725314,0.12773605725167556,-103.34686061358803
1000,3700,5.2,-104.5873614339611,1.8169343317049353,1055.4596780955362,24.380258905198126,Secant,5.80802594362946,1.0277807516677702,520.0,2438.0258905198125,4.688511327922717,1182.2149791066986,8.91806419673822,1.8169343317049353,0.13256408039079753,-104.58816726792443
1000,3750,5.2,-104.5722986823043,1.9830288370382974,1060.1981596684436,24.083898054630122,Secant,5.873216554321712,1.0387193041681118,520.0,2408.389805463012,4.631518856659639,1191.510428468112,9.106671588399614,1.9830288370382974,0.13083928819678733,-104.57228328903685
1000,3800,5.2,-104.74177858853274,1.971289775368021,1064.1323535800427,23.738583368273176,Secant,5.930558659885315,1.0494275841167402,520.0,2373.8583368273175,4.56511218620638,1200.7014996999678,9.007591742989716,1.971289775368021,0.13329883657687203,-104.74193936904891
1100,3650,5.6,-101,2.117606140468766,1115.0868020198288,26.674007807758052,Grid,6.176770618901916,1.0138888888888886,560.0,2667.4007807758053,4.763215679956795,1247.6772963543708,9.472209739285589,2.117606140468766,0.13171977085554618,-100.99926673062899
1100,3650,5.6,-101,2.1176058362853354,1115.086801913928,26.674007796626196,Grid,6.17677060691993,1.013888888888889,560.0,2667.4007796626197,4.763215677968963,1247.6773001762976,9.472209297673729,2.1176058362853354,0.13171977740005317,-100.99926736885521
1100,3650,5.6,-101,2.117605835207698,1115.086801912375,26.67400779658037,Grid,6.176770606870678,1.0138888888888884,560.0,2667.4007796580368,4.76321567796078,1247.6773001886581,9.472209296062406,2.117605835207698,0.13171977742376503,-100.99926737095964
