Flow_Set,P_Set,T_Adj4_Set,Time,S1_Pres,S1_Temp,S1_Flow,S10_Flow,S6_Pres,Power,MA,UA,LMTD,Status
700,4.2,-116,18:15:21,4.2,37.37420194484508,16999.89094910756,700.0,19.43814545092947,280.52839908522844,3.0845944793045987,93.8827950007738,10.464295254764743,OK
700,4.2,-117,18:15:22,4.2,37.71895052492721,16999.89094910756,700.0,19.40912243838847,280.36548361406665,2.7398483387070627,98.78389960477193,10.001112095124144,OK
700,4.2,-118,18:15:24,4.2,38.06455634702934,16999.89094910756,700.0,19.37973059851636,280.20154547922994,2.394234718871836,104.4611518702295,9.510645470845136,OK
700,4.3,-119,18:16:13,4.3,37.55863035847244,17205.15873762045,700.0,20.159995170319426,285.4658988494235,2.8904707901748736,97.75874463019991,10.3505657994913,OK
700,4.3,-120,18:16:15,4.3,37.912946091984566,17205.15873762045,700.0,20.133370476724128,285.29572492603205,2.540570654530896,103.2376137667461,9.856659081338082,OK
800,4.3,-106,18:22:13,4.3,30.475977169040164,24590.843303719823,800.0,-327.67,385.601841409512,-32767.0,-32767.0,-32767.0,OK
800,4.3,-107,18:22:15,4.3,30.475977169040164,24590.843303719823,800.0,-327.67,385.601841409512,-32767.0,-32767.0,-32767.0,OK
800,4.3,-108,18:22:16,4.3,30.475977169040164,24590.843303719823,800.0,-327.67,385.601841409512,-32767.0,-32767.0,-32767.0,OK
800,4.3,-109,18:22:18,4.3,30.475977169040164,24590.843303719823,800.0,-327.67,385.601841409512,-32767.0,-32767.0,-32767.0,OK
800,4.3,-110,18:22:19,4.3,30.475977169040164,24590.843303719823,800.0,-327.67,385.601841409512,-32767.0,-32767.0,-32767.0,OK
800,4.5,-112,18:24:05,4.5,38.75242044028903,17774.116245054644,800.0,21.299760403486477,296.208958201041,1.7445709707095602,117.70740127101655,8.724369511943276,OK
800,4.5,-113,18:24:07,4.5,39.10469548628282,17774.116245054644,800.0,21.273968912270888,296.05310748564483,1.3965509833173826,127.19455300035776,8.119682104239256,OK
800,4.5,-114,18:24:09,4.5,39.45305559093168,17774.116245054644,800.0,21.24845388301301,295.89838547370255,1.048187727149184,139.66767079337885,7.436519566584161,OK
800,4.5,-115,18:24:10,4.5,39.802155555700494,17774.116245054644,800.0,21.222872258167314,295.74202876982287,0.6990822581433491,157.6207119622599,6.626790608619696,OK
800,4.5,-116,18:24:12,4.5,40.152030400628064,17774.116245054644,800.0,21.197208853021447,295.5838189146053,0.34918457044550166,188.93195720426868,5.559748241517555,Temp Cross (MA 0.35)
800,4.7,-113,18:25:46,4.7,36.86249936693122,18861.9271277723,800.0,22.12968506636145,312.85894005173975,3.6057126106544075,94.8945236974817,11.45175790071762,OK
800,4.7,-114,18:25:47,4.7,37.22202360578416,18861.9271277723,800.0,22.099917929286743,312.6693981845338,3.2503596812980575,99.33722718075487,11.00276073702252,OK
800,4.7,-115,18:25:49,4.7,37.57789477101943,18861.9271277723,800.0,22.070322788383134,312.4837995688055,2.894488939673167,104.39170842941432,10.530202536730128,OK
800,4.7,-116,18:25:51,4.7,37.93535014594357,18861.9271277723,800.0,22.040441638037578,312.30081744068445,2.53704110050748,110.24319868647079,10.028427471034435,OK
800,4.8,-103,18:26:29,4.8,32.17431107237502,19621.352355127565,800.0,22.616950157367047,324.96473002183717,1.9641572764730881,66.67688943530412,15.878184349254822,OK
800,4.8,-104,18:26:31,4.8,32.53257872980049,19621.352355127565,800.0,22.583387604007594,324.7797616828148,2.6947207156956097,67.99031810543796,15.6651740183088,OK
800,4.8,-105,18:26:33,4.8,32.88538688576449,19621.352355127565,800.0,22.54942750830673,324.6037026195404,3.4262808653166985,69.48634504502714,15.419555427209058,OK
800,4.8,-106,18:26:34,4.8,33.240051906033045,19621.352355127565,800.0,22.515026030167554,324.4208657932309,4.15675775116307,71.16034833946885,15.146468713574997,OK
800,4.8,-107,18:26:36,4.8,33.595760261835494,19621.352355127565,800.0,22.480383026844137,324.2332323592383,4.8885357150885795,72.9970234367992,14.852987866253468,OK
800,4.8,-108,18:26:38,4.8,33.951151548230996,19621.352355127565,800.0,22.445593925015775,324.0422254605413,5.621092879112496,75.00395390833648,14.540984664839955,OK
800,4.8,-109,18:26:39,4.8,34.307668261565595,19621.352355127565,800.0,22.410368446619213,323.84783972824073,6.14619709772726,77.19411096821642,14.211615309667357,OK
800,4.8,-110,18:26:41,4.8,34.66415916698901,19621.352355127565,800.0,22.374974772253466,323.651533986781,5.789725825914651,79.5770337953269,13.866933770767826,OK
800,4.8,-111,18:26:43,4.8,35.022638399583684,19621.352355127565,800.0,22.33918660153062,323.4530986628544,5.4317939292104285,82.18385419649343,13.505596465243872,OK
800,4.8,-112,18:26:44,4.8,35.38120492103019,19621.352355127565,800.0,22.3031671548509,323.25456083471016,5.072628361869505,85.03989285370206,13.128037238728727,OK
